run,route,mode,ttfb,total
run=1,route=csr,mode=cold,ttfb=0.517561,total=0.517749
run=2,route=csr,mode=cold,ttfb=0.058389,total=0.058462
run=3,route=csr,mode=cold,ttfb=0.068661,total=0.068737
run=4,route=csr,mode=cold,ttfb=0.040870,total=0.040970
run=5,route=csr,mode=cold,ttfb=0.041133,total=0.041237
run=1,route=csr,mode=warm,ttfb=0.054298,total=0.056095
run=2,route=csr,mode=warm,ttfb=0.040760,total=0.042623
run=3,route=csr,mode=warm,ttfb=0.049343,total=0.050813
run=4,route=csr,mode=warm,ttfb=0.078937,total=0.081470
run=5,route=csr,mode=warm,ttfb=0.040997,total=0.043200
run=1,route=ssr,mode=cold,ttfb=1.266694,total=1.384309
run=2,route=ssr,mode=cold,ttfb=0.543944,total=0.555218
run=3,route=ssr,mode=cold,ttfb=0.533656,total=0.561988
run=4,route=ssr,mode=cold,ttfb=0.488515,total=0.500630
run=5,route=ssr,mode=cold,ttfb=0.478172,total=0.491665
run=1,route=ssr,mode=warm,ttfb=0.493122,total=0.527424
run=2,route=ssr,mode=warm,ttfb=0.502090,total=0.518857
run=3,route=ssr,mode=warm,ttfb=0.500346,total=0.508599
run=4,route=ssr,mode=warm,ttfb=0.535894,total=0.542236
run=5,route=ssr,mode=warm,ttfb=0.478052,total=0.496235
run=1,route=ssg,mode=cold,ttfb=0.043854,total=0.055879
run=2,route=ssg,mode=cold,ttfb=0.066615,total=0.079671
run=3,route=ssg,mode=cold,ttfb=0.074650,total=0.086850
run=4,route=ssg,mode=cold,ttfb=0.098117,total=0.115221
run=5,route=ssg,mode=cold,ttfb=0.068107,total=0.088390
run=1,route=ssg,mode=warm,ttfb=0.054718,total=0.071779
run=2,route=ssg,mode=warm,ttfb=0.046224,total=0.063619
run=3,route=ssg,mode=warm,ttfb=0.030918,total=0.043972
run=4,route=ssg,mode=warm,ttfb=0.057922,total=0.065492
run=5,route=ssg,mode=warm,ttfb=0.093880,total=0.101702
run=1,route=isr,mode=cold,ttfb=0.557632,total=0.579055
run=2,route=isr,mode=cold,ttfb=0.051317,total=0.072366
run=3,route=isr,mode=cold,ttfb=0.081407,total=0.099728
run=4,route=isr,mode=cold,ttfb=0.058723,total=0.065937
run=5,route=isr,mode=cold,ttfb=0.054977,total=0.075000
run=1,route=isr,mode=warm,ttfb=0.053460,total=0.063708
run=2,route=isr,mode=warm,ttfb=0.045791,total=0.090553
run=3,route=isr,mode=warm,ttfb=0.056324,total=0.065298
run=4,route=isr,mode=warm,ttfb=0.064641,total=0.101104
run=5,route=isr,mode=warm,ttfb=0.038998,total=0.063179
